,source,target,label
0,[ 0.71   0.513  0.267  0.089  0.02   0.012  0.009 -0.006  0.017  0.007],[ 0.712  0.511  0.267  0.088  0.02   0.011  0.01  -0.015  0.007  0.008],1
1,[ 0.709  0.513  0.267  0.088  0.021  0.012  0.015 -0.013  0.007  0.004],[ 0.709  0.518  0.272  0.089  0.021  0.012  0.009 -0.013  0.017  0.008],0
2,[ 0.71   0.501  0.267  0.089  0.021  0.012  0.009 -0.006  0.007  0.007],[ 0.712  0.513  0.268  0.089  0.023  0.01   0.009 -0.015  0.009  0.001],0
3,[ 0.711  0.513  0.266  0.088  0.021  0.005  0.008 -0.013  0.008  0.007],[ 0.712  0.514  0.264  0.089  0.021  0.012  0.009 -0.011  0.017  0.008],0
4,[ 0.709  0.501  0.267  0.088  0.021  0.012  0.008 -0.004  0.007  0.008],[ 0.71   0.514  0.268  0.089  0.021  0.012  0.014 -0.006  0.013  0.008],0
5,[ 0.712  0.513  0.264  0.089  0.021  0.012  0.009 -0.011  0.017  0.008],[ 0.71   0.501  0.267  0.088  0.021  0.012  0.009 -0.006  0.01   0.007],0
6,[ 0.712  0.516  0.266  0.088  0.021  0.006  0.008 -0.013  0.012  0.007],[ 0.709  0.501  0.267  0.089  0.021  0.006  0.009 -0.004  0.006  0.005],0
7,[ 0.712  0.519  0.267  0.088  0.021  0.015  0.011 -0.014  0.008  0.007],[ 0.71   0.501  0.267  0.089  0.02   0.011  0.009 -0.004  0.007  0.004],0
8,[ 0.711  0.513  0.267  0.088  0.021  0.012  0.009 -0.01   0.007  0.007],[ 0.71   0.501  0.267  0.088  0.021  0.012  0.009 -0.006  0.014  0.007],1
9,[ 0.712  0.513  0.268  0.089  0.026  0.01   0.009 -0.015  0.008  0.001],[ 0.71   0.507  0.267  0.089  0.023  0.012  0.009 -0.01   0.01   0.004],0
10,[ 0.712  0.513  0.267  0.089  0.02   0.013  0.011 -0.006  0.017  0.007],[ 0.712  0.514  0.267  0.088  0.022  0.013  0.009 -0.013  0.007  0.007],1
11,[ 0.71   0.512  0.267  0.087  0.021  0.012  0.01  -0.013  0.01   0.007],[ 0.712  0.513  0.267  0.089  0.021  0.012  0.009 -0.015  0.009  0.001],1
12,[ 0.712  0.513  0.267  0.088  0.021  0.012  0.01  -0.015  0.008  0.008],[ 0.709  0.501  0.267  0.089  0.02   0.012  0.009 -0.004  0.006  0.005],0
13,[ 0.712  0.512  0.267  0.089  0.022  0.012  0.013 -0.015  0.008  0.006],[ 0.71   0.512  0.267  0.089  0.023  0.012  0.009 -0.01   0.015  0.008],0
14,[ 0.713  0.513  0.267  0.088  0.021  0.012  0.01  -0.015  0.008  0.007],[ 0.712  0.513  0.267  0.088  0.021  0.01   0.009 -0.015  0.008  0.007],1
15,[ 0.712  0.511  0.268  0.089  0.021  0.012  0.009 -0.012  0.01   0.006],[ 0.71   0.501  0.267  0.089  0.02   0.012  0.009 -0.006  0.017  0.007],1
16,[ 0.711  0.513  0.267  0.089  0.021  0.012  0.009 -0.01   0.007  0.007],[ 0.71   0.501  0.267  0.088  0.021  0.012  0.009 -0.006  0.007  0.007],1
17,[ 0.71   0.501  0.267  0.089  0.021  0.012  0.013 -0.006  0.008  0.008],[ 0.712  0.513  0.267  0.089  0.021  0.01   0.009 -0.015  0.009  0.001],0
18,[ 0.71   0.514  0.263  0.089  0.02   0.011  0.009 -0.006  0.007  0.007],[ 0.71   0.511  0.267  0.089  0.021  0.012  0.013 -0.004  0.007  0.008],0
19,[ 0.712  0.516  0.266  0.088  0.021  0.007  0.008 -0.013  0.012  0.007],[ 0.712  0.512  0.267  0.089  0.021  0.011  0.013 -0.015  0.008  0.008],1
20,[ 0.712  0.513  0.264  0.089  0.021  0.011  0.009 -0.011  0.017  0.008],[ 0.71   0.501  0.267  0.089  0.021  0.011  0.009 -0.006  0.01   0.007],1
21,[ 0.71   0.501  0.267  0.089  0.022  0.012  0.009 -0.004  0.007  0.007],[ 0.71   0.501  0.267  0.089  0.02   0.012  0.009 -0.004  0.005  0.007],1
22,[ 0.71   0.501  0.267  0.089  0.022  0.012  0.008 -0.004  0.007  0.007],[ 0.712  0.516  0.266  0.088  0.021  0.011  0.008 -0.013  0.012  0.007],0
23,[ 0.71   0.51   0.264  0.087  0.021  0.011  0.009 -0.011  0.017  0.007],[ 0.712  0.511  0.268  0.089  0.021  0.01   0.008 -0.015  0.015  0.001],1
24,[ 0.712  0.514  0.267  0.089  0.021  0.013  0.013 -0.013  0.007  0.008],[ 0.708  0.512  0.267  0.088  0.021  0.012  0.008 -0.004  0.007  0.007],0
25,[ 0.712  0.511  0.268  0.089  0.021  0.012  0.009 -0.012  0.015  0.001],[ 0.712  0.514  0.267  0.089  0.021  0.013  0.011 -0.013  0.007  0.007],1
26,[ 0.71   0.512  0.264  0.089  0.021  0.011  0.009 -0.011  0.017  0.008],[ 0.71   0.501  0.267  0.088  0.022  0.011  0.01  -0.004  0.007  0.007],0
27,[ 0.712  0.512  0.267  0.089  0.022  0.012  0.013 -0.015  0.007  0.007],[ 0.71   0.511  0.268  0.089  0.021  0.012  0.013 -0.006  0.015  0.008],0
28,[ 0.712  0.512  0.267  0.088  0.021  0.012  0.013 -0.015  0.008  0.008],[ 0.71   0.5    0.267  0.088  0.021  0.011  0.007 -0.006  0.006  0.007],1
29,[ 0.712  0.512  0.267  0.088  0.021  0.012  0.013 -0.004  0.008  0.008],[ 0.71   0.511  0.268  0.089  0.021  0.012  0.013 -0.004  0.015  0.008],1
30,[ 0.709  0.501  0.267  0.089  0.021  0.012  0.009 -0.004  0.006  0.005],[ 0.712  0.511  0.267  0.088  0.022  0.012  0.009 -0.001  0.009  0.01 ],0
31,[ 0.709  0.501  0.267  0.089  0.021  0.012  0.009 -0.004  0.01   0.005],[ 0.709  0.501  0.267  0.089  0.021  0.012  0.009 -0.005  0.01   0.005],1
32,[ 0.712  0.512  0.267  0.089  0.021  0.011  0.009 -0.015  0.008  0.   ],[ 0.712  0.52   0.272  0.087  0.021  0.007  0.008 -0.013  0.012  0.007],0
