,source,target,label
0,[ 0.715  0.552  0.266  0.11  -0.009 -0.028  0.032 -0.024 -0.044  0.014],[ 0.673  0.512  0.267  0.034 -0.033 -0.006  0.039 -0.076  0.024  0.018],1
1,[ 0.711  0.508  0.212  0.09   0.002  0.103  0.063 -0.048  0.014 -0.   ],[ 0.73   0.552  0.301  0.11  -0.024 -0.031  0.043 -0.058 -0.056 -0.008],0
2,[ 0.716  0.508  0.287  0.091 -0.02   0.017  0.035 -0.08   0.025  0.   ],[ 0.784  0.65   0.415  0.18  -0.034 -0.019  0.022 -0.076 -0.048  0.045],1
3,[ 0.771  0.54   0.268  0.167 -0.009 -0.019  0.032 -0.055  0.016  0.031],[ 0.712  0.508  0.264  0.11  -0.081 -0.02   0.04  -0.019 -0.044 -0.007],0
4,[ 0.666  0.509  0.267  0.048 -0.044 -0.019  0.037 -0.079  0.009  0.018],[ 0.697  0.541  0.262  0.052 -0.035 -0.018  0.039 -0.074  0.017  0.019],0
5,[ 0.673  0.512  0.265  0.052 -0.    -0.02   0.039 -0.076  0.026  0.019],[ 0.667  0.503  0.265  0.047 -0.001  0.013  0.033 -0.076  0.042  0.019],0
6,[ 0.716  0.492  0.263  0.091 -0.049 -0.005  0.039 -0.055 -0.067 -0.007],[ 0.717  0.481  0.266  0.039 -0.023 -0.003  0.039 -0.074 -0.054  0.014],1
7,[ 0.716  0.508  0.271  0.093 -0.027  0.017  0.032 -0.08   0.001  0.017],[ 0.711  0.508  0.257  0.09   0.002 -0.097  0.063 -0.048  0.014 -0.   ],1
8,[ 0.712  0.509  0.264  0.072 -0.086 -0.02  -0.001 -0.052 -0.047 -0.007],[ 0.714  0.55   0.303  0.111 -0.038 -0.019  0.041 -0.074  0.049  0.014],0
9,[ 0.711  0.499  0.272  0.091 -0.036 -0.01   0.04  -0.055 -0.062 -0.007],[ 0.708  0.492  0.274  0.116 -0.032  0.028  0.018 -0.076 -0.056  0.   ],1
10,[ 0.712  0.515  0.264  0.052 -0.086 -0.02   0.041 -0.019 -0.046 -0.007],[ 0.777  0.65   0.396  0.167  0.015 -0.025  0.044 -0.054 -0.06   0.031],0
11,[ 0.777  0.65   0.396  0.167 -0.02  -0.025  0.039 -0.055 -0.06   0.031],[ 0.707  0.494  0.302  0.111 -0.052 -0.019  0.025 -0.078  0.055  0.031],1
12,[ 0.711  0.508  0.263  0.09   0.001 -0.058  0.063 -0.048 -0.062  0.   ],[ 0.707  0.493  0.3    0.096 -0.006 -0.082  0.02  -0.077  0.024  0.019],1
13,[ 0.674  0.512  0.266  0.04  -0.033  0.003  0.029 -0.076  0.024  0.018],[ 0.717  0.497  0.266  0.044  0.001 -0.003  0.039 -0.074 -0.054  0.014],0
14,[ 0.716  0.495  0.277  0.09  -0.046  0.074  0.04  -0.078  0.022  0.016],[ 0.716  0.508  0.23   0.091 -0.027  0.017  0.032 -0.078  0.001 -0.003],0
15,[ 0.762  0.632  0.396  0.174 -0.021 -0.082  0.039 -0.055 -0.049 -0.   ],[ 0.674  0.498  0.265  0.03  -0.001 -0.017  0.039 -0.076  0.026  0.019],0
16,[ 0.784  0.65   0.415  0.18  -0.026 -0.004  0.022 -0.076 -0.048  0.045],[ 0.723  0.553  0.314  0.088 -0.02  -0.018  0.012 -0.02   0.025  0.019],0
17,[ 0.777  0.65   0.468  0.168 -0.02  -0.025  0.037 -0.063 -0.06   0.031],[ 0.777  0.65   0.402  0.091 -0.011 -0.025  0.044 -0.054 -0.06   0.031],0
18,[ 0.693  0.496  0.265  0.09   0.001 -0.077  0.038 -0.046 -0.056  0.   ],[ 0.727  0.498  0.3    0.03  -0.001 -0.033  0.039 -0.06   0.026  0.019],0
19,[ 0.715  0.553  0.314  0.088 -0.02   0.037  0.038 -0.02   0.025  0.019],[ 0.679  0.508  0.263  0.052 -0.    -0.028  0.039 -0.079  0.025  0.017],1
20,[ 0.662  0.512  0.267  0.034 -0.033 -0.006  0.039 -0.076  0.024  0.018],[ 0.711  0.499  0.29   0.093 -0.039 -0.01   0.032 -0.055 -0.062 -0.007],0
21,[ 0.723  0.554  0.3    0.188 -0.02  -0.021  0.012 -0.071  0.02   0.016],[ 0.702  0.534  0.269  0.097 -0.052 -0.051  0.041 -0.074  0.025  0.016],1
22,[ 0.713  0.509  0.266  0.052 -0.028 -0.017  0.039 -0.063 -0.032  0.019],[ 0.728  0.513  0.274  0.11  -0.024 -0.031  0.038 -0.058 -0.056  0.   ],1
23,[ 0.717  0.497  0.266  0.044 -0.025 -0.003  0.039 -0.074 -0.054  0.013],[ 0.674  0.495  0.266  0.04  -0.033  0.003  0.028 -0.078  0.024  0.018],0
24,[ 0.771  0.629  0.388  0.174 -0.021 -0.09   0.039 -0.055 -0.048  0.001],[ 0.715  0.493  0.272  0.111 -0.052  0.058  0.029 -0.076  0.025  0.016],0
