,source,target,label
0,[ 0.716  0.516  0.276  0.085  0.02   0.011  0.009  0.01   0.009 -0.   ],[0.715 0.517 0.276 0.085 0.02  0.01  0.008 0.012 0.01  0.   ],1
1,[0.716 0.517 0.276 0.086 0.02  0.011 0.008 0.007 0.007 0.   ],[0.716 0.517 0.276 0.086 0.02  0.011 0.008 0.008 0.008 0.001],0
2,[0.715 0.517 0.277 0.086 0.02  0.011 0.008 0.007 0.008 0.001],[ 0.715  0.517  0.276  0.086  0.02   0.011  0.008  0.01   0.008 -0.   ],0
3,[ 0.716  0.517  0.276  0.085  0.02   0.011  0.009  0.01   0.007 -0.   ],[ 0.719  0.517  0.276  0.085  0.02   0.011  0.008  0.011  0.008 -0.001],0
4,[0.715 0.517 0.277 0.086 0.02  0.011 0.009 0.01  0.007 0.001],[0.715 0.517 0.276 0.085 0.02  0.01  0.008 0.01  0.009 0.001],1
5,[ 0.716  0.516  0.277  0.086  0.02   0.011  0.009  0.01   0.009 -0.   ],[0.716 0.516 0.277 0.086 0.02  0.011 0.009 0.01  0.012 0.001],1
6,[ 0.716  0.517  0.276  0.085  0.02   0.01   0.009  0.007  0.008 -0.   ],[0.715 0.517 0.277 0.086 0.02  0.011 0.009 0.01  0.008 0.001],1
7,[ 0.715  0.517  0.276  0.086  0.02   0.011  0.008  0.01   0.007 -0.001],[0.715 0.517 0.275 0.086 0.02  0.01  0.008 0.01  0.01  0.001],0
8,[0.715 0.517 0.276 0.086 0.02  0.01  0.008 0.01  0.008 0.001],[0.716 0.517 0.277 0.086 0.02  0.011 0.008 0.01  0.01  0.001],0
9,[0.722 0.517 0.276 0.085 0.02  0.011 0.008 0.012 0.01  0.002],[0.716 0.517 0.276 0.086 0.02  0.011 0.008 0.01  0.007 0.001],1
10,[0.716 0.517 0.277 0.086 0.02  0.011 0.008 0.007 0.008 0.001],[0.717 0.517 0.276 0.085 0.02  0.01  0.008 0.011 0.007 0.   ],0
11,[0.715 0.517 0.276 0.085 0.02  0.012 0.008 0.011 0.01  0.   ],[ 0.716  0.517  0.276  0.085  0.02   0.011  0.008  0.013  0.007 -0.003],1
12,[ 0.716  0.516  0.276  0.085  0.02   0.01   0.009  0.007  0.01  -0.   ],[0.715 0.517 0.276 0.086 0.02  0.011 0.009 0.007 0.01  0.   ],0
13,[ 0.715  0.517  0.277  0.086  0.02   0.01   0.008  0.01   0.007 -0.001],[ 0.716  0.517  0.276  0.085  0.02   0.01   0.008  0.012  0.011 -0.001],0
14,[0.715 0.517 0.277 0.085 0.02  0.01  0.009 0.01  0.01  0.001],[0.716 0.517 0.277 0.086 0.02  0.01  0.009 0.007 0.007 0.001],0
15,[ 0.716  0.517  0.276  0.086  0.02   0.011  0.008  0.007  0.008 -0.   ],[0.715 0.517 0.277 0.086 0.02  0.011 0.009 0.012 0.007 0.   ],1
16,[0.716 0.517 0.276 0.086 0.02  0.011 0.009 0.007 0.007 0.001],[0.715 0.517 0.277 0.086 0.02  0.01  0.009 0.01  0.01  0.001],0
