,source,target,label
0,[ 0.719  0.517  0.277  0.087  0.02   0.01   0.008  0.01   0.01  -0.   ],[ 0.719  0.517  0.277  0.087  0.02   0.011  0.009  0.01   0.01  -0.001],0
1,[0.719 0.517 0.278 0.086 0.02  0.01  0.008 0.011 0.01  0.   ],[ 0.719  0.517  0.278  0.086  0.02   0.011  0.009  0.01   0.008 -0.001],1
2,[0.719 0.517 0.279 0.086 0.02  0.01  0.008 0.01  0.01  0.   ],[0.719 0.517 0.278 0.087 0.02  0.01  0.008 0.01  0.01  0.   ],0
3,[ 0.719  0.517  0.278  0.088  0.02   0.01   0.009  0.01   0.009 -0.001],[ 0.719  0.517  0.278  0.088  0.02   0.011  0.008  0.011  0.01  -0.001],1
4,[ 0.719  0.517  0.278  0.086  0.02   0.011  0.01   0.01   0.008 -0.001],[ 0.72   0.517  0.277  0.087  0.02   0.011  0.008  0.011  0.009 -0.001],0
5,[0.719 0.517 0.278 0.086 0.02  0.01  0.01  0.011 0.01  0.   ],[ 0.719  0.517  0.277  0.087  0.02   0.01   0.009  0.01   0.01  -0.001],1
6,[0.719 0.517 0.277 0.086 0.02  0.01  0.009 0.011 0.01  0.   ],[ 0.72   0.517  0.277  0.085  0.02   0.01   0.01   0.011  0.01  -0.   ],1
7,[ 0.719  0.517  0.278  0.087  0.02   0.011  0.008  0.011  0.01  -0.001],[0.719 0.517 0.278 0.087 0.02  0.011 0.008 0.011 0.01  0.   ],0
8,[ 0.719  0.517  0.278  0.086  0.02   0.01   0.008  0.011  0.01  -0.001],[ 0.719  0.517  0.277  0.087  0.02   0.011  0.009  0.011  0.01  -0.001],0
9,[ 0.72   0.517  0.277  0.087  0.02   0.011  0.008  0.01   0.01  -0.001],[ 0.719  0.517  0.277  0.086  0.02   0.01   0.009  0.01   0.01  -0.001],1
10,[ 0.72   0.517  0.277  0.087  0.02   0.01   0.008  0.01   0.01  -0.001],[ 0.719  0.517  0.278  0.087  0.02   0.011  0.008  0.01   0.011 -0.001],0
11,[ 0.72   0.517  0.277  0.087  0.02   0.01   0.008  0.01   0.009 -0.001],[ 0.719  0.517  0.277  0.088  0.02   0.011  0.009  0.011  0.01  -0.001],0
12,[ 0.719  0.517  0.277  0.087  0.02   0.011  0.008  0.01   0.01  -0.001],[ 0.719  0.517  0.278  0.087  0.02   0.01   0.008  0.011  0.01  -0.001],0
13,[ 0.719  0.517  0.277  0.087  0.02   0.011  0.008  0.01   0.011 -0.   ],[ 0.719  0.517  0.277  0.087  0.02   0.01   0.008  0.01   0.01  -0.001],1
14,[ 0.719  0.517  0.278  0.087  0.02   0.01   0.008  0.01   0.009 -0.001],[0.719 0.517 0.277 0.088 0.02  0.011 0.008 0.011 0.01  0.   ],1
