,source,target,label
0,[ 0.744  0.705  0.418  0.277 -0.087 -0.101  0.063  0.189 -0.14   0.232],[-0.383  0.057  0.105  0.386 -0.075 -0.102  0.062 -0.157  0.201  0.174],1
1,[-0.932  0.666  0.425  0.154 -0.073 -0.341  0.248 -0.113  0.248  0.226],[-0.662  0.799  0.768  0.387 -0.071 -0.036  0.098  0.251  0.057  0.162],1
2,[-0.401 -0.083  0.151  0.19  -0.088 -0.068  0.067 -0.273  0.095  0.161],[-0.661  0.641  0.621  0.367  0.031 -0.021  0.088 -0.132  0.317  0.2  ],0
3,[-0.451  0.321  0.049  0.293  0.053 -0.11   0.057 -0.265 -0.201 -0.201],[ 0.744  0.509  0.287  0.213 -0.078 -0.102  0.085 -0.084  0.25   0.183],0
4,[-0.415 -0.081  0.056  0.173 -0.088 -0.125  0.067 -0.341  0.244  0.187],[ 0.744  0.698  0.625  0.252 -0.087 -0.264  0.123  0.435  0.335  0.227],1
5,[-0.726  0.64   0.44   0.53  -0.074 -0.078  0.115 -0.172  0.107  0.064],[-0.307 -0.16   0.115 -0.273  0.27  -0.029  0.063 -0.265  0.147  0.023],0
6,[ 0.744  0.526  0.393  0.176 -0.087 -0.147  0.062  0.261  0.11   0.183],[-0.726  0.64   0.183  0.4   -0.078 -0.087  0.059 -0.19  -0.036  0.075],1
7,[-0.859  0.64   0.425  0.156 -0.086 -0.332  0.316 -0.113  0.249  0.226],[-0.316 -0.245  0.132  0.106 -0.154 -0.122  0.089 -0.169  0.18   0.192],0
8,[ 0.639  0.749  0.315  0.314 -0.086 -0.104  0.114  0.179  0.25   0.176],[ 0.771  0.754  0.485  0.248 -0.089 -0.054  0.065 -0.203 -0.432  0.235],0
9,[-0.307  0.069  0.112 -0.246  0.27  -0.029  0.063 -0.26   0.147  0.051],[-0.436  0.323  0.103  0.293  0.27  -0.029  0.062 -0.265  0.172  0.02 ],1
10,[ 0.682  0.509  0.173 -0.122 -0.075 -0.119  0.057 -0.278  0.115  0.002],[ 0.691  0.754  0.485  0.248 -0.21  -0.054  0.065 -0.203  0.053  0.235],1
11,[ 0.744  0.515  0.393  0.313 -0.078 -0.12   0.135 -0.081  0.114  0.159],[ 0.95   0.757  0.515  0.389 -0.086 -0.054  0.112  0.156 -0.059  0.23 ],1
12,[-0.525  0.641  0.621  0.383  0.031 -0.017  0.045  0.155  0.322  0.2  ],[-0.704  0.757  0.515  0.389 -0.086 -0.054  0.11  -0.202 -0.059  0.23 ],0
13,[ 0.64   0.666  0.425  0.189  0.233 -0.291  0.241 -0.113  0.268  0.229],[-0.401 -0.039  0.165  0.19  -0.069 -0.091  0.023 -0.239  0.088  0.161],0
14,[ 0.95   0.757  0.144  0.193 -0.086 -0.065  0.112 -0.106 -0.059  0.189],[ 0.744  0.754  0.585  0.363 -0.083 -0.07   0.117 -0.078 -0.074  0.231],0
15,[ 0.71   0.641  0.449  0.113 -0.108 -0.085  0.092 -0.154  0.271  0.393],[-0.821  0.509  0.287 -0.297 -0.074 -0.102  0.103 -0.084  0.065  0.183],1
16,[-0.431  0.029  0.212  0.184  0.009 -0.068  0.067 -0.278  0.189  0.188],[ 0.561  0.644  0.134  0.204 -0.085 -0.068  0.065 -0.118  0.189  0.19 ],1
17,[-0.401 -0.094  0.04   0.002 -0.087 -0.125  0.121 -0.341  0.399  0.231],[-0.574  0.521  0.393  0.176 -0.087 -0.152  0.068 -0.133  0.11   0.183],0
18,[ 0.834  0.698  0.738  0.201 -0.087 -0.195  0.066 -0.222 -0.059  0.227],[-0.726  0.64   0.418  0.103 -0.059 -0.089  0.11  -0.19  -0.348 -0.171],1
19,[-0.412  0.111  0.048  0.25  -0.092 -0.137  0.114  0.191 -0.194 -0.008],[-0.297 -0.043  0.118  0.156  0.286 -0.069  0.303 -0.159  0.178  0.193],1
20,[-0.569  0.499  0.319  0.203 -0.064 -0.045  0.123 -0.248 -0.125  0.159],[ 0.744  0.698  0.614  0.261 -0.087 -0.264  0.066  0.301 -0.067  0.227],1
21,[-0.525  0.529  0.621  0.298  0.031 -0.104  0.045 -0.126  0.322  0.184],[-0.927  0.666  0.425  0.163 -0.086 -0.291  0.299 -0.113  0.249  0.226],1
22,[-0.401 -0.083  0.165  0.11  -0.088 -0.068  0.067 -0.384  0.095  0.161],[ 0.744  0.509  0.704  0.313 -0.078 -0.102  0.135 -0.084  0.114  0.185],1
23,[-0.436  0.321  0.081  0.293  0.053 -0.029  0.059 -0.265  0.172 -0.201],[-0.55   0.641  0.621  0.365  0.031 -0.017  0.045 -0.299  0.317  0.2  ],1
24,[-0.726  0.536  0.198  0.387 -0.078 -0.102  0.066 -0.193  0.084  0.076],[-0.192  0.506  0.287  0.213 -0.069 -0.092  0.02  -0.084  0.257  0.183],1
25,[-0.662  0.654  0.466  0.387 -0.074 -0.089  0.098 -0.152  0.057  0.162],[ 0.776  0.754  0.485  0.248 -0.089 -0.054  0.065 -0.203 -0.432  0.235],1
26,[ 0.925  0.641  0.446  0.106 -0.108 -0.084  0.095 -0.154  0.209  0.393],[-0.771  0.641  0.458  0.113  0.069 -0.263  0.124 -0.154  0.271  0.393],1
