,source,target,label
0,[ 0.716  0.517  0.277  0.085  0.02   0.01   0.009  0.012  0.007 -0.   ],[ 0.719  0.517  0.277  0.087  0.02   0.011  0.008  0.01   0.011 -0.001],0
1,[ 0.719  0.517  0.276  0.085  0.02   0.011  0.008  0.011  0.01  -0.001],[ 0.716  0.517  0.276  0.085  0.02   0.01   0.009  0.012  0.008 -0.   ],1
2,[0.716 0.517 0.277 0.086 0.02  0.011 0.009 0.007 0.008 0.001],[ 0.719  0.517  0.277  0.085  0.02   0.011  0.008  0.011  0.008 -0.002],0
3,[0.716 0.517 0.276 0.085 0.02  0.011 0.009 0.012 0.01  0.001],[ 0.717  0.517  0.276  0.086  0.02   0.01   0.008  0.011  0.008 -0.001],0
4,[0.719 0.517 0.277 0.085 0.02  0.011 0.008 0.01  0.007 0.   ],[0.72  0.517 0.277 0.085 0.02  0.011 0.008 0.011 0.007 0.001],0
5,[ 0.718  0.517  0.277  0.085  0.02   0.01   0.009  0.01   0.01  -0.   ],[ 0.716  0.517  0.276  0.085  0.02   0.011  0.009  0.01   0.007 -0.   ],1
6,[0.716 0.517 0.276 0.086 0.02  0.011 0.008 0.008 0.008 0.001],[ 0.716  0.517  0.276  0.085  0.02   0.01   0.008  0.011  0.011 -0.001],0
7,[ 0.717  0.517  0.276  0.085  0.02   0.011  0.008  0.012  0.007 -0.   ],[ 0.716  0.517  0.276  0.085  0.02   0.01   0.008  0.011  0.008 -0.001],1
8,[0.716 0.517 0.277 0.086 0.02  0.011 0.008 0.007 0.008 0.001],[ 0.717  0.517  0.276  0.086  0.02   0.011  0.008  0.006  0.007 -0.   ],1
9,[0.716 0.517 0.276 0.085 0.02  0.01  0.009 0.012 0.009 0.001],[0.716 0.517 0.277 0.085 0.02  0.01  0.008 0.01  0.01  0.   ],0
10,[0.716 0.517 0.277 0.086 0.02  0.01  0.009 0.012 0.01  0.001],[0.716 0.517 0.276 0.086 0.02  0.011 0.008 0.009 0.01  0.001],1
11,[0.716 0.517 0.276 0.085 0.02  0.01  0.009 0.01  0.01  0.001],[0.716 0.517 0.277 0.085 0.02  0.011 0.008 0.01  0.01  0.   ],0
12,[ 0.717  0.516  0.277  0.085  0.02   0.011  0.009  0.01   0.009 -0.001],[ 0.716  0.517  0.276  0.085  0.02   0.011  0.008  0.011  0.01  -0.001],0
13,[ 0.716  0.517  0.277  0.085  0.02   0.011  0.008  0.01   0.008 -0.001],[0.716 0.517 0.277 0.085 0.02  0.01  0.008 0.01  0.007 0.001],1
14,[0.716 0.517 0.277 0.086 0.02  0.011 0.009 0.01  0.01  0.   ],[ 0.719  0.517  0.277  0.085  0.02   0.01   0.008  0.011  0.008 -0.   ],0
15,[ 0.719  0.516  0.277  0.085  0.02   0.011  0.009  0.011  0.008 -0.001],[0.716 0.517 0.276 0.085 0.02  0.01  0.009 0.01  0.007 0.   ],1
16,[0.717 0.517 0.276 0.085 0.02  0.01  0.008 0.01  0.007 0.001],[ 0.72   0.517  0.277  0.085  0.02   0.011  0.008  0.009  0.007 -0.001],0
17,[ 0.716  0.517  0.276  0.087  0.02   0.011  0.009  0.012  0.01  -0.001],[ 0.717  0.517  0.276  0.085  0.02   0.011  0.008  0.011  0.007 -0.001],0
18,[ 0.716  0.517  0.276  0.086  0.02   0.01   0.008  0.011  0.007 -0.001],[ 0.719  0.517  0.276  0.085  0.02   0.011  0.008  0.011  0.008 -0.001],0
19,[ 0.716  0.517  0.277  0.085  0.02   0.01   0.009  0.011  0.01  -0.001],[0.715 0.517 0.277 0.086 0.02  0.01  0.009 0.01  0.01  0.001],1
20,[ 0.717  0.517  0.277  0.085  0.02   0.01   0.009  0.012  0.007 -0.   ],[0.716 0.517 0.276 0.086 0.02  0.011 0.008 0.01  0.007 0.001],1
21,[ 0.716  0.517  0.277  0.085  0.02   0.011  0.008  0.01   0.008 -0.002],[ 0.719  0.517  0.277  0.085  0.02   0.011  0.008  0.011  0.008 -0.   ],0
22,[ 0.72   0.517  0.277  0.085  0.02   0.011  0.008  0.011  0.007 -0.001],[0.717 0.517 0.276 0.085 0.02  0.01  0.009 0.012 0.009 0.001],1
23,[0.716 0.517 0.277 0.085 0.02  0.01  0.009 0.011 0.007 0.001],[ 0.716  0.517  0.276  0.085  0.02   0.01   0.009  0.011  0.01  -0.001],0
24,[ 0.719  0.516  0.277  0.085  0.02   0.011  0.008  0.01   0.007 -0.001],[0.722 0.517 0.276 0.085 0.02  0.011 0.008 0.012 0.01  0.002],0
25,[ 0.716  0.517  0.278  0.084  0.02   0.011  0.008  0.01   0.01  -0.001],[ 0.717  0.517  0.277  0.085  0.02   0.011  0.008  0.013  0.007 -0.001],0
