,source,target,label
0,[0.712 0.512 0.267 0.086 0.02  0.011 0.008 0.012 0.01  0.001],[0.714 0.515 0.27  0.085 0.02  0.01  0.008 0.001 0.008 0.001],0
1,[ 0.713  0.515  0.272  0.086  0.02   0.011  0.008  0.001  0.009 -0.   ],[0.714 0.513 0.272 0.086 0.02  0.01  0.008 0.001 0.007 0.001],1
2,[ 0.714  0.512  0.272  0.086  0.02   0.01   0.009 -0.     0.007 -0.001],[0.712 0.512 0.267 0.086 0.02  0.01  0.008 0.012 0.008 0.   ],1
3,[0.712 0.512 0.273 0.084 0.02  0.011 0.009 0.012 0.01  0.   ],[0.712 0.511 0.268 0.086 0.02  0.01  0.008 0.013 0.008 0.001],1
4,[0.712 0.512 0.267 0.086 0.02  0.01  0.009 0.012 0.008 0.   ],[0.712 0.513 0.273 0.084 0.02  0.011 0.009 0.001 0.007 0.003],0
5,[ 0.712  0.515  0.272  0.084  0.02   0.01   0.008 -0.     0.008  0.003],[0.714 0.513 0.267 0.084 0.02  0.011 0.009 0.005 0.008 0.001],0
6,[0.714 0.511 0.267 0.084 0.02  0.011 0.009 0.005 0.008 0.   ],[0.712 0.512 0.267 0.084 0.02  0.011 0.009 0.012 0.01  0.001],0
7,[0.713 0.511 0.272 0.084 0.02  0.011 0.009 0.006 0.007 0.003],[0.712 0.515 0.268 0.084 0.02  0.011 0.009 0.003 0.01  0.001],1
8,[ 0.714  0.512  0.274  0.086  0.021  0.011  0.008  0.001  0.009 -0.005],[0.715 0.513 0.27  0.086 0.021 0.011 0.009 0.001 0.007 0.001],0
9,[0.712 0.512 0.273 0.086 0.02  0.011 0.009 0.012 0.01  0.   ],[0.712 0.513 0.267 0.086 0.02  0.01  0.009 0.012 0.008 0.   ],1
10,[0.712 0.516 0.275 0.086 0.02  0.01  0.008 0.012 0.008 0.   ],[ 0.712  0.513  0.273  0.086  0.02   0.012  0.007  0.001  0.009 -0.002],1
11,[0.711 0.515 0.272 0.085 0.02  0.01  0.008 0.003 0.009 0.004],[0.712 0.515 0.272 0.086 0.02  0.01  0.009 0.019 0.01  0.   ],0
12,[0.712 0.516 0.273 0.086 0.02  0.01  0.009 0.012 0.007 0.   ],[0.712 0.512 0.269 0.086 0.02  0.011 0.008 0.014 0.01  0.   ],1
13,[0.712 0.515 0.268 0.086 0.02  0.012 0.008 0.013 0.008 0.004],[ 0.712  0.515  0.271  0.084  0.02   0.01   0.007  0.002  0.007 -0.   ],0
14,[0.712 0.512 0.273 0.086 0.02  0.011 0.008 0.012 0.01  0.   ],[0.712 0.513 0.273 0.084 0.02  0.012 0.009 0.001 0.007 0.003],1
15,[ 0.715  0.515  0.272  0.086  0.02   0.011  0.008  0.     0.003 -0.001],[ 0.714  0.512  0.274  0.086  0.021  0.011  0.008  0.001  0.009 -0.004],1
16,[0.712 0.515 0.273 0.086 0.02  0.012 0.009 0.013 0.01  0.004],[ 0.713  0.515  0.267  0.088  0.02   0.011  0.009  0.014  0.011 -0.   ],1
17,[0.715 0.515 0.272 0.085 0.02  0.011 0.008 0.    0.009 0.004],[0.713 0.513 0.269 0.086 0.02  0.011 0.009 0.014 0.01  0.   ],1
18,[0.712 0.512 0.272 0.086 0.02  0.01  0.008 0.014 0.008 0.   ],[0.713 0.513 0.267 0.086 0.02  0.01  0.009 0.014 0.011 0.   ],1
19,[0.712 0.512 0.267 0.086 0.02  0.011 0.009 0.012 0.01  0.   ],[0.712 0.513 0.267 0.086 0.02  0.011 0.008 0.013 0.008 0.   ],1
20,[0.712 0.512 0.273 0.084 0.02  0.01  0.008 0.018 0.01  0.004],[0.712 0.515 0.273 0.084 0.02  0.012 0.009 0.002 0.007 0.004],0
21,[ 0.713  0.513  0.273  0.084  0.02   0.011  0.009  0.014  0.007 -0.   ],[0.712 0.515 0.273 0.089 0.02  0.01  0.009 0.001 0.007 0.004],1
22,[0.713 0.511 0.269 0.084 0.02  0.011 0.009 0.006 0.007 0.   ],[ 0.712  0.515  0.274  0.09   0.02   0.011  0.009 -0.     0.01   0.001],0
23,[0.712 0.515 0.273 0.083 0.02  0.012 0.009 0.002 0.007 0.004],[0.715 0.515 0.272 0.085 0.02  0.011 0.008 0.    0.008 0.004],0
24,[0.714 0.513 0.272 0.086 0.02  0.011 0.009 0.001 0.007 0.001],[ 0.715  0.515  0.269  0.085  0.02   0.011  0.008 -0.     0.007  0.004],1
25,[0.714 0.515 0.27  0.089 0.021 0.01  0.008 0.001 0.009 0.003],[0.712 0.515 0.274 0.086 0.021 0.011 0.009 0.012 0.007 0.006],0
26,[0.712 0.512 0.275 0.086 0.02  0.01  0.008 0.012 0.01  0.   ],[0.712 0.515 0.274 0.086 0.02  0.011 0.009 0.01  0.007 0.006],0
27,[0.712 0.513 0.272 0.086 0.02  0.01  0.009 0.012 0.008 0.   ],[0.714 0.515 0.272 0.085 0.02  0.01  0.009 0.009 0.01  0.005],0
28,[ 0.712  0.512  0.267  0.084  0.02   0.011  0.009  0.007  0.008 -0.   ],[0.714 0.515 0.27  0.086 0.021 0.009 0.008 0.001 0.007 0.   ],0
29,[0.712 0.512 0.267 0.086 0.02  0.011 0.009 0.012 0.01  0.001],[0.712 0.513 0.267 0.086 0.02  0.011 0.009 0.014 0.011 0.   ],1
30,[0.712 0.515 0.272 0.085 0.02  0.01  0.009 0.001 0.009 0.003],[0.713 0.513 0.267 0.086 0.02  0.01  0.009 0.014 0.008 0.   ],1
31,[ 0.712  0.515  0.273  0.084  0.02   0.01   0.01   0.002  0.007 -0.   ],[ 0.715  0.515  0.27   0.085  0.02   0.011  0.008 -0.     0.007  0.004],1
32,[ 0.713  0.512  0.273  0.084  0.02   0.012  0.009  0.003  0.007 -0.   ],[0.715 0.515 0.272 0.085 0.02  0.011 0.008 0.    0.007 0.004],0
33,[0.712 0.515 0.272 0.086 0.02  0.01  0.008 0.012 0.01  0.   ],[ 0.712  0.515  0.272  0.086  0.02   0.01   0.009 -0.     0.008  0.004],1
