,source,target,label
0,[ 0.715  0.503  0.26   0.087 -0.005  0.014  0.034 -0.02  -0.003  0.019],[ 0.717  0.505  0.274  0.094 -0.004  0.013  0.034 -0.017  0.035  0.019],1
1,[ 0.723  0.553  0.314  0.088 -0.02  -0.017  0.012 -0.02   0.025  0.019],[ 0.723  0.559  0.314  0.095 -0.02  -0.017  0.012 -0.02   0.019  0.014],0
2,[ 0.717  0.501  0.291  0.088 -0.004 -0.015  0.016 -0.02   0.025  0.019],[ 0.713  0.503  0.248  0.09  -0.018  0.016  0.013 -0.019  0.004 -0.003],0
3,[ 0.717  0.502  0.269  0.09  -0.023  0.016  0.031 -0.022  0.001 -0.004],[ 0.712  0.502  0.271  0.089 -0.02   0.012  0.015 -0.02   0.043  0.016],1
4,[ 0.717  0.553  0.314  0.089 -0.02  -0.018  0.012 -0.02   0.025  0.019],[ 0.712  0.501  0.267  0.094 -0.006  0.013  0.01  -0.015  0.023  0.008],0
5,[ 0.717  0.501  0.291  0.092 -0.004 -0.015  0.016 -0.016  0.025  0.019],[ 0.723  0.553  0.314  0.088 -0.02  -0.018  0.012 -0.02   0.033  0.016],0
6,[ 0.715  0.503  0.251  0.088 -0.027  0.01   0.015 -0.024  0.013 -0.002],[ 0.715  0.503  0.253  0.088 -0.02   0.032  0.017 -0.02   0.015 -0.002],0
7,[ 0.716  0.555  0.287  0.085 -0.02   0.034  0.011 -0.005  0.025 -0.007],[ 0.715  0.503  0.272  0.094 -0.006  0.013  0.015 -0.024  0.042  0.012],0
8,[ 0.715  0.512  0.266  0.094 -0.002 -0.025  0.032 -0.024  0.007  0.014],[ 0.717  0.518  0.272  0.092 -0.006  0.013  0.031 -0.015  0.042  0.019],0
9,[ 0.715  0.518  0.266  0.088 -0.002 -0.035  0.032 -0.024  0.007  0.015],[ 0.717  0.504  0.267  0.087 -0.005  0.017  0.031 -0.015  0.042  0.024],0
10,[ 0.723  0.553  0.313  0.088 -0.034  0.022  0.011 -0.027 -0.01  -0.003],[ 0.715  0.511  0.272  0.094 -0.004  0.013  0.034 -0.028  0.042  0.012],0
11,[ 0.711  0.501  0.268  0.094 -0.006  0.013  0.031 -0.015  0.042  0.008],[ 0.715  0.505  0.266  0.092 -0.006  0.013  0.031 -0.015  0.018  0.017],0
12,[ 0.713  0.553  0.291  0.092 -0.011  0.024  0.013 -0.027  0.003 -0.004],[ 0.716  0.508  0.267  0.088 -0.002 -0.025  0.011 -0.02   0.012  0.017],0
13,[ 0.714  0.503  0.266  0.094 -0.002 -0.011  0.032 -0.024  0.014  0.017],[ 0.713  0.504  0.289  0.089 -0.017  0.017  0.039 -0.016  0.016  0.02 ],1
14,[ 0.724  0.553  0.314  0.088 -0.033  0.034  0.012 -0.02   0.014  0.019],[ 0.714  0.504  0.268  0.094 -0.002 -0.026  0.032 -0.024  0.02   0.014],1
15,[ 0.715  0.503  0.271  0.093 -0.018  0.012  0.015 -0.019  0.043  0.019],[ 0.717  0.503  0.272  0.094 -0.004  0.013  0.034 -0.02   0.042  0.019],0
16,[ 0.714  0.553  0.314  0.088 -0.02  -0.017  0.01  -0.02   0.025  0.016],[ 0.716  0.502  0.27   0.088 -0.018  0.01   0.011 -0.019  0.034  0.019],0
17,[ 0.723  0.511  0.289  0.094 -0.006  0.017  0.031 -0.015  0.042  0.024],[ 0.713  0.503  0.29   0.089 -0.017  0.017  0.039 -0.016  0.016  0.019],1
18,[ 0.715  0.503  0.273  0.094 -0.006  0.014  0.015 -0.024  0.042  0.016],[ 0.716  0.515  0.302  0.089 -0.002  0.033  0.016 -0.009  0.024  0.016],0
19,[ 0.717  0.503  0.272  0.094 -0.004  0.013  0.034 -0.016  0.042  0.019],[ 0.714  0.504  0.268  0.094 -0.002 -0.022  0.032 -0.023  0.02   0.014],1
