,source,target,label
0,[ 0.716  0.515  0.271  0.089 -0.002  0.033  0.016 -0.009  0.024  0.016],[ 0.715  0.505  0.266  0.092 -0.006  0.013  0.017 -0.013  0.019  0.016],1
1,[ 0.712  0.501  0.271  0.094 -0.006  0.013  0.009 -0.015  0.01   0.007],[ 0.712  0.516  0.266  0.089  0.021  0.018  0.009 -0.013  0.019  0.017],0
2,[ 0.712  0.501  0.267  0.085 -0.005  0.013  0.009 -0.017  0.019  0.008],[ 0.716  0.513  0.27   0.089 -0.006  0.013  0.01  -0.022  0.018  0.017],1
3,[ 0.712  0.504  0.266  0.089 -0.008  0.007  0.013 -0.015  0.02   0.009],[ 0.71   0.501  0.267  0.089 -0.006  0.012  0.013 -0.015  0.024  0.008],1
4,[ 0.712  0.504  0.266  0.094 -0.002  0.007  0.034 -0.009  0.02   0.008],[ 0.71   0.501  0.265  0.089  0.026  0.013  0.01  -0.023  0.013  0.007],0
5,[ 0.71   0.501  0.267  0.089 -0.007  0.013  0.01  -0.015  0.012  0.008],[ 0.714  0.515  0.259  0.088 -0.007  0.013  0.01  -0.014  0.018  0.017],1
6,[ 0.718  0.502  0.267  0.089  0.023  0.011  0.009 -0.017  0.019  0.008],[ 0.707  0.508  0.266  0.089 -0.005  0.008  0.011 -0.017  0.023  0.017],1
7,[ 0.715  0.501  0.267  0.089  0.026  0.013  0.01  -0.016  0.013  0.008],[ 0.71   0.501  0.266  0.089  0.026  0.013  0.008 -0.024  0.023  0.007],1
8,[ 0.712  0.517  0.27   0.089 -0.002  0.026  0.002 -0.021  0.009  0.008],[ 0.711  0.518  0.288  0.089 -0.002  0.033  0.002 -0.009  0.01   0.009],0
9,[ 0.712  0.516  0.268  0.089  0.023  0.017  0.009 -0.015  0.019  0.017],[ 0.712  0.501  0.267  0.089 -0.004  0.012  0.01  -0.02   0.011  0.008],1
10,[ 0.71   0.501  0.264  0.089  0.021  0.013  0.013 -0.013  0.017  0.008],[ 0.712  0.501  0.266  0.094 -0.006  0.013  0.01  -0.015  0.019  0.008],1
11,[ 0.714  0.501  0.267  0.087 -0.006  0.013  0.008 -0.018  0.019  0.009],[ 0.712  0.501  0.267  0.089  0.023  0.012  0.009 -0.015  0.019  0.008],0
12,[ 0.71   0.501  0.266  0.094 -0.007  0.012  0.011 -0.015  0.014  0.008],[ 0.716  0.511  0.27   0.089 -0.006  0.013  0.011 -0.022  0.017  0.017],1
13,[ 0.714  0.504  0.27   0.094 -0.006  0.013  0.012 -0.015  0.01   0.017],[ 0.71   0.507  0.265  0.089  0.026  0.013  0.011 -0.024  0.016  0.007],0
14,[ 0.709  0.501  0.267  0.085 -0.004  0.012  0.01  -0.02   0.011  0.015],[ 0.712  0.502  0.266  0.094 -0.006  0.012  0.014 -0.015  0.019  0.009],0
15,[0.71  0.501 0.267 0.089 0.021 0.012 0.013 0.04  0.009 0.008],[ 0.712  0.502  0.266  0.094 -0.006  0.012  0.012 -0.015  0.012  0.009],1
16,[ 0.716  0.515  0.288  0.089 -0.002  0.033  0.016 -0.009  0.024  0.016],[ 0.712  0.501  0.267  0.088 -0.005  0.013  0.009 -0.015  0.019  0.008],1
17,[ 0.712  0.502  0.267  0.087 -0.006  0.012  0.014 -0.015  0.018  0.008],[ 0.71   0.502  0.265  0.088  0.005  0.012  0.006 -0.025  0.016  0.007],1
18,[ 0.716  0.504  0.269  0.094 -0.002  0.007  0.013 -0.014  0.02   0.008],[ 0.71   0.501  0.267  0.089  0.026  0.013  0.01  -0.019  0.009  0.008],0
19,[ 0.71   0.501  0.265  0.088 -0.001  0.013  0.007 -0.023  0.016  0.007],[ 0.71   0.501  0.267  0.089 -0.005  0.013  0.01  -0.015  0.023  0.008],0
20,[ 0.714  0.501  0.266  0.089  0.026  0.012  0.007 -0.025  0.014  0.008],[ 0.71   0.502  0.267  0.088 -0.006  0.012  0.014 -0.015  0.024  0.008],0
21,[ 0.712  0.502  0.266  0.094 -0.006  0.012  0.012 -0.015  0.018  0.009],[ 0.712  0.515  0.285  0.089 -0.002  0.033  0.008 -0.009  0.023  0.016],0
22,[ 0.71   0.501  0.267  0.089 -0.006  0.013  0.013 -0.015  0.024  0.008],[ 0.712  0.509  0.266  0.088 -0.006  0.012  0.012 -0.015  0.023  0.009],0
23,[ 0.716  0.515  0.286  0.088 -0.007  0.013  0.012 -0.014  0.018  0.017],[ 0.717  0.518  0.266  0.094 -0.005  0.008  0.011 -0.017  0.023  0.017],1
24,[ 0.709  0.505  0.267  0.089  0.026  0.014  0.01  -0.02   0.006  0.008],[ 0.71   0.502  0.265  0.088  0.026  0.012  0.007 -0.025  0.016  0.007],1
25,[ 0.712  0.503  0.266  0.09  -0.006  0.017  0.003 -0.015  0.012  0.009],[ 0.71   0.501  0.266  0.087 -0.007  0.013  0.009 -0.015  0.011  0.008],0
26,[ 0.709  0.501  0.267  0.089  0.003  0.011  0.01  -0.019  0.01   0.007],[ 0.716  0.504  0.269  0.094 -0.006  0.006  0.013 -0.013 -0.005  0.008],1
27,[ 0.712  0.501  0.267  0.089 -0.007  0.012  0.009 -0.015  0.019  0.008],[ 0.715  0.505  0.266  0.092 -0.006  0.013  0.017 -0.015  0.018  0.016],1
28,[ 0.709  0.502  0.267  0.089  0.026  0.012  0.007 -0.025  0.014  0.008],[ 0.712  0.502  0.267  0.089  0.023  0.012  0.014 -0.015  0.018  0.008],0
29,[ 0.709  0.512  0.267  0.088 -0.009  0.013  0.01  -0.015  0.018  0.011],[ 0.71   0.506  0.268  0.089 -0.012  0.012  0.01  -0.017  0.019  0.006],1
30,[ 0.717  0.518  0.268  0.094 -0.005  0.008  0.016 -0.017  0.024  0.016],[ 0.71   0.507  0.26   0.089  0.026  0.013  0.01  -0.024  0.017  0.006],0
31,[ 0.71   0.505  0.267  0.088 -0.006  0.012  0.014 -0.015  0.024  0.01 ],[ 0.71   0.507  0.26   0.089  0.026  0.013  0.01  -0.024  0.023  0.007],1
