,source,target,label
0,[ 0.715  0.506  0.268  0.089  0.021  0.012  0.009 -0.016  0.008  0.008],[ 0.71   0.502  0.266  0.089  0.023  0.013  0.009 -0.015  0.013  0.008],1
1,[ 0.709  0.505  0.267  0.089  0.026  0.012  0.01  -0.014  0.014  0.007],[ 0.71   0.501  0.266  0.089  0.023  0.013  0.01  -0.015  0.019  0.008],1
2,[ 0.709  0.501  0.265  0.089  0.026  0.012  0.01  -0.015  0.013  0.008],[ 0.712  0.506  0.266  0.089  0.021  0.013  0.013 -0.015 -0.002  0.008],0
3,[ 0.715  0.506  0.267  0.089  0.023  0.012  0.009 -0.018  0.008  0.008],[ 0.712  0.516  0.266  0.089  0.023  0.012  0.009 -0.015  0.019  0.017],1
4,[ 0.71   0.504  0.269  0.094  0.026  0.007  0.014 -0.014  0.012  0.008],[ 0.712  0.512  0.267  0.088  0.021  0.012  0.013 -0.015  0.008  0.008],0
5,[ 0.71   0.501  0.267  0.089  0.021  0.011  0.009 -0.006  0.01   0.007],[ 0.712  0.516  0.268  0.089  0.023  0.017  0.009 -0.015  0.019  0.017],1
6,[ 0.712  0.516  0.266  0.089  0.021  0.018  0.009 -0.013  0.019  0.017],[ 0.71   0.516  0.266  0.088  0.021  0.006  0.009 -0.018  0.007  0.008],0
7,[ 0.709  0.505  0.267  0.088  0.026  0.012  0.01  -0.015  0.014  0.007],[ 0.715  0.502  0.267  0.089  0.021  0.012  0.009 -0.016  0.007  0.008],1
8,[ 0.712  0.516  0.268  0.089 -0.002  0.004  0.009 -0.015  0.019  0.009],[ 0.712  0.501  0.267  0.088  0.026  0.013  0.01  -0.015  0.008  0.007],0
9,[ 0.712  0.502  0.267  0.089  0.023  0.011  0.009 -0.01   0.019  0.007],[ 0.712  0.501  0.267  0.089  0.023  0.011  0.01  -0.01   0.019  0.008],1
10,[ 0.71   0.507  0.267  0.089  0.023  0.012  0.009 -0.018  0.008  0.008],[ 0.71   0.501  0.264  0.089  0.021  0.013  0.009 -0.013  0.017  0.   ],0
11,[ 0.71   0.503  0.264  0.089  0.021  0.012  0.009 -0.015  0.017  0.008],[ 0.715  0.502  0.267  0.088  0.021  0.012  0.009 -0.016  0.008  0.008],1
12,[ 0.71   0.502  0.264  0.089  0.021  0.012  0.013 -0.015  0.017  0.011],[ 0.712  0.502  0.264  0.089  0.021  0.011  0.009 -0.011  0.017  0.008],0
13,[ 0.712  0.501  0.267  0.089  0.023  0.012  0.009 -0.015  0.019  0.008],[ 0.711  0.501  0.267  0.089  0.024  0.012  0.009 -0.01   0.007  0.007],0
14,[ 0.71   0.502  0.264  0.089  0.021  0.012  0.013 -0.015  0.017  0.008],[ 0.709  0.517  0.264  0.089  0.021  0.012  0.009 -0.014  0.017  0.008],0
15,[ 0.71   0.512  0.264  0.089  0.021  0.012  0.01  -0.016  0.017  0.016],[ 0.711  0.518  0.269  0.089 -0.002  0.012 -0.001 -0.009  0.01   0.007],0
16,[ 0.71   0.502  0.264  0.09   0.021  0.012  0.01  -0.015  0.013  0.008],[ 0.709  0.518  0.287  0.089  0.005  0.033  0.01  -0.009  0.01   0.008],1
17,[ 0.712  0.5    0.267  0.089  0.021  0.012  0.013 -0.015  0.007  0.008],[ 0.715  0.501  0.272  0.089  0.023  0.013  0.009 -0.015  0.013  0.008],1
18,[ 0.712  0.516  0.266  0.088  0.021  0.006  0.008 -0.013  0.012  0.007],[ 0.715  0.504  0.269  0.094  0.026  0.007  0.013 -0.016  0.008  0.008],1
19,[ 0.709  0.501  0.265  0.089  0.023  0.012  0.007 -0.015  0.019  0.008],[ 0.71   0.505  0.267  0.089  0.023  0.012  0.009 -0.019  0.019  0.008],1
20,[ 0.715  0.501  0.268  0.087  0.026  0.013  0.01  -0.016  0.013  0.007],[ 0.712  0.513  0.267  0.089  0.026  0.011  0.009 -0.015  0.018  0.001],0
21,[ 0.712  0.512  0.267  0.088  0.021  0.012  0.013 -0.015  0.008  0.007],[ 0.709  0.513  0.269  0.089  0.026  0.013  0.01  -0.016  0.004  0.017],1
22,[ 0.714  0.501  0.267  0.096  0.02   0.012  0.013 -0.014  0.007  0.008],[ 0.71   0.512  0.265  0.089  0.021  0.018  0.013 -0.015  0.016  0.007],0
23,[ 0.712  0.512  0.267  0.089  0.021  0.012  0.013 -0.015  0.008  0.008],[ 0.712  0.513  0.267  0.088  0.021  0.012  0.01  -0.015  0.008  0.008],0
24,[ 0.71   0.501  0.264  0.089  0.021  0.013  0.013 -0.013  0.017  0.008],[ 0.712  0.501  0.267  0.089  0.023  0.012  0.009 -0.01   0.019  0.007],0
25,[ 0.709  0.507  0.266  0.088  0.     0.008  0.008 -0.015  0.01   0.008],[ 0.712  0.514  0.267  0.089  0.023  0.013  0.009 -0.015  0.023  0.017],0
26,[ 0.712  0.502  0.267  0.089  0.023  0.011  0.009 -0.009  0.019  0.007],[ 0.71   0.501  0.267  0.088  0.005  0.01   0.01  -0.015  0.007  0.008],1
27,[ 0.71   0.501  0.267  0.089  0.021  0.012  0.009 -0.006  0.007  0.007],[ 0.715  0.501  0.269  0.087  0.026  0.013  0.01  -0.015  0.013  0.008],1
28,[ 0.712  0.501  0.267  0.089  0.023  0.012  0.01  -0.015  0.018  0.008],[ 0.709  0.504  0.253  0.088  0.024  0.014  0.012 -0.009  0.013  0.008],0
29,[ 0.71   0.501  0.267  0.088  0.026  0.013  0.01  -0.015  0.007  0.007],[ 0.71   0.501  0.267  0.089  0.026  0.013  0.01  -0.015  0.007  0.007],1
30,[ 0.712  0.512  0.265  0.089  0.021  0.018  0.013 -0.015  0.023  0.01 ],[ 0.712  0.501  0.266  0.089  0.022  0.012  0.006 -0.012  0.019  0.008],1
31,[ 0.713  0.501  0.266  0.089  0.022  0.012  0.007 -0.012  0.008  0.008],[ 0.709  0.501  0.265  0.089  0.026  0.012  0.01  -0.015  0.007  0.008],1
